359,"9c","MAY","GE","132",4,1,,
360,"9c","KOH","PK","132",1,3,,
360,"9c","KOH","PK","132",4,2,,
361,"9c","MAR","M","132",2,1,,
361,"9c","MAR","M","132",4,4,,
361,"9c","MAR","M","132",5,4,,
362,"9c","NIE","E5","132",3,2,,
362,"9c","NIE","E5","132",5,5,,
363,"9c","HRM","BI","538",3,3,,
363,"9c","HRM","BI","532",5,1,,
364,"9c","MAY","KU","Ku 1",2,4,,
364,"9c","MAY","KU","Ku 1",2,5,,
365,"9c","KOH","SP","gr SpH",1,4,,
366,"EF","KRS","D  G2","524",3,4,,
366,"EF","BDN","EK G1","511",3,4,,
366,"EF","RIC","PH G1","Ph 1",3,4,,
366,"EF","AYM","SP G2","gr SpH",3,4,,
368,"Q2","JAR","BI L1","537",1,4,,
368,"Q2","JAR","BI L1","533",2,2,,
368,"Q2","JAR","BI L1","532",3,5,,
368,"Q2","JAR","BI L1","538",4,2,,
368,"Q2","SCH","D  L3","521",1,4,,
368,"Q2","SCH","D  L3","521",2,2,,
368,"Q2","SCH","D  L3","516",3,5,,
368,"Q2","SCH","D  L3","516",4,2,,
368,"Q2","KLS","M  L2","511",1,4,,
368,"Q2","KLS","M  L2","511",2,2,,
368,"Q2","KLS","M  L2","511",3,5,,
368,"Q2","KLS","M  L2","515",4,2,,
368,"Q2","RIC","PH L1","Ph 1",1,4,,
368,"Q2","RIC","PH L1","Ph 1",2,2,,
368,"Q2","RIC","PH L1","Ph 1",3,5,,
368,"Q2","RIC","PH L1","Ph 1",4,2,,
369,"Q2","MÖL","D  L2","521",1,2,,
369,"Q2","MÖL","D  L2","521",2,3,,
369,"Q2","MÖL","D  L2","516",4,1,,
369,"Q2","MÖL","D  L2","516",5,5,,
369,"Q2","MAR","E5 L2","514",1,2,,
369,"Q2","MAR","E5 L2","514",2,3,,
369,"Q2","MAR","E5 L2","514",4,1,,
369,"Q2","MAR","E5 L2","514",5,5,,
369,"Q2","KRA","EK L1","527",1,2,,
369,"Q2","KRA","EK L1","526",2,3,,
369,"Q2","KRA","EK L1","525",4,1,,
369,"Q2","KRA","EK L1","527",5,5,,
369,"Q2","PJU","ER L1","522",1,2,,
369,"Q2","PJU","ER L1","522",2,3,,
369,"Q2","PJU","ER L1","517",4,1,,
369,"Q2","PJU","ER L1","522",5,5,,
369,"Q2","WEB","M  L3","526",1,2,,
369,"Q2","WEB","M  L3","523",2,3,,
369,"Q2","WEB","M  L3","515",4,1,,
369,"Q2","WEB","M  L3","526",5,5,,
370,"Q2","BOR","D  L1","516",2,1,,
370,"Q2","BOR","D  L1","516",3,3,,
370,"Q2","BOR","D  L1","516",4,5,,
370,"Q2","BOR","D  L1","516",5,3,,
370,"Q2","HIM","E5 L1","521",2,1,,
370,"Q2","HIM","E5 L1","521",3,3,,
370,"Q2","HIM","E5 L1","514",4,5,,
370,"Q2","HIM","E5 L1","514",5,3,,
370,"Q2","EGL","GE L1","527",2,1,,
370,"Q2","EGL","GE L1","527",3,3,,
370,"Q2","EGL","GE L1","513",4,5,,
